Trailing P/E Ratio,Forward P/E Ratio,Price to Book Ratio,Earnings Per Share Trailing,Earnings Per Share Forward,Return on Equity,Debt to Equity Ratio,Free Cash Flow,Operating Margin,Price to Sales Ratio,Quick Ratio,Interest Coverage Ratio,Enterprise Value,Enterprise Value to EBITDA,PEG Ratio,Total Debt,Total Stockholder Equity,Symbol,Error
42.091835,15.722281,1.0008128,Not Available,5.0,0.114930004,67.302,58587435008,0.08786,0.1942271,1.041,Not Available,475632336896,7.332,Not Available,128373000000.0,Not Available,FMX,
166.63763,64.551186,23.79586,Not Available,16.7,0.16221,24.166,3431500032,0.14945,21.126198,0.973,Not Available,218014531584,119.526,Not Available,1488000000.0,Not Available,NOW,
14.353818,11.268924,1.5660938,Not Available,5.49,0.099139996,Not Available,Not Available,0.31972,3.2553642,Not Available,Not Available,201624436736,Not Available,Not Available,207569000000.0,Not Available,WFC,
35.699444,31.704866,10.16267,Not Available,5.88,0.29293,84.399,-473624992,0.3734,11.172351,3.048,Not Available,181350727680,26.294,Not Available,10624000000.0,Not Available,TXN,
58.82473,27.363192,9.184099,Not Available,22.23,0.16597,Not Available,4246874880,0.15697,10.384173,0.615,Not Available,Not Available,Not Available,Not Available,5539000000.0,Not Available,INTU,
34.707905,13.117711,19.430876,Not Available,20.67,0.5572,802.418,4574875136,0.24156,4.4958534,0.804,Not Available,197655035904,16.139,Not Available,63170000000.0,Not Available,AMGN,
95.27975,75.078835,13.546367,Not Available,7.86,0.15973,Not Available,637524992,0.28325,26.832163,3.293,Not Available,206948679680,82.611,Not Available,Not Available,Not Available,ISRG,
15.434059,8.495787,1.4830765,Not Available,9.27,0.13685,Not Available,Not Available,0.41504002,3.0301814,Not Available,Not Available,-101413781504,Not Available,Not Available,334221000000.0,Not Available,RY,
20.997034,19.23767,2.9072683,Not Available,3.68,0.09887999,139.015,-16568750080,0.35562,5.544116,0.258,Not Available,235502190592,16.155,Not Available,61405000000.0,Not Available,NEE,
35.066666,8.989609,1.6146857,Not Available,2.93,0.04538,73.408,11420749824,0.32987,2.5101783,0.64,Not Available,207305834496,11.287,Not Available,60499000000.0,Not Available,PFE,
17.921076,17.418598,9.608224,Not Available,22.15,0.53475,195.336,6985500160,0.19496,2.8382556,0.768,Not Available,219518418944,13.877,Not Available,24533000000.0,Not Available,CAT,
39.345585,17.527884,1.9314551,Not Available,5.15,0.0546,45.188,8273750016,0.14913,2.152739,0.531,Not Available,244472922112,14.595,Not Available,38970000000.0,Not Available,DIS,
44.25573,29.741085,4.5812716,Not Available,16.81,0.099309996,31.362,4448374784,0.40392,11.310804,0.787,Not Available,170470162432,25.654,Not Available,11412000000.0,Not Available,SPGI,
20.538746,17.98094,6.8395185,Not Available,3.5,0.32369,137.489,5844499968,0.19677,2.2831743,0.555,Not Available,166852968448,13.966,Not Available,22631000000.0,Not Available,UL,
17.32035,14.797998,2.3670294,Not Available,7.93,0.11079001,405.772,Not Available,0.33174,3.801467,1.83,Not Available,71193698304,Not Available,Not Available,267467000000.0,Not Available,MS,
8.3,36.42446,5.2417436,Not Available,1.39,0.12638,Not Available,Not Available,0.49157003,3.119505,Not Available,Not Available,539205664768,Not Available,Not Available,Not Available,Not Available,HSBC,
18.121952,10.306514,1.5624563,Not Available,2.24,0.08759,125.151,17564999680,0.23618999,1.3103164,0.42,Not Available,321202192384,7.509,Not Available,127854000000.0,Not Available,T,
19.084969,20.218805,0.092341214,Not Available,2.98,0.1153,Not Available,Not Available,0.32936,0.053923734,Not Available,Not Available,4595916996608,Not Available,Not Available,7306154600000.0,Not Available,HDB,
34.801723,19.92757,2.6377,Not Available,6.11,0.073460005,69.597,8071000064,0.11991999,2.03942,0.602,Not Available,200010399744,15.91,Not Available,42355000000.0,Not Available,RTX,
8.390691,7.184783,1.168969,Not Available,8.13,0.14385,50.66,20368750592,0.1159,0.6571178,0.59,Not Available,166494486528,4.411,Not Available,38280000000.0,Not Available,TTE,
22.331394,18.409966,8.40371,Not Available,9.69,0.4391,35.409,4395624960,0.28652,5.8191776,1.947,Not Available,150907158528,18.394,Not Available,5460000000.0,Not Available,AMAT,
21.551058,19.331429,8.573101,Not Available,12.11,0.43396,197.154,4174625024,0.39862,5.847405,0.56,Not Available,173750681600,14.443,Not Available,31156000000.0,Not Available,UNP,
15.432446,12.275654,1.9106196,Not Available,41.56,0.1017,609.793,Not Available,0.32743,3.9785538,1.458,Not Available,-92448751616,Not Available,Not Available,247867000000.0,Not Available,GS,
9.8598385,8.363743,1.6352258,Not Available,4.38,0.16884,117.127,20999000064,0.18269,1.1373595,0.605,Not Available,233292840960,6.257,Not Available,95021000000.0,Not Available,CMCSA,
33.172413,21.220007,9.587129,Not Available,2.36,0.34326,80.343,3871000064,0.09483,3.379776,1.223,Not Available,147782467584,42.898,Not Available,9459000000.0,Not Available,UBER,
17.69644,16.985125,5.255915,Not Available,13.8,0.36411,25.375,14565612544,0.15293999,1.9837635,0.227,Not Available,148749746176,13.744,Not Available,6888600000.0,Not Available,PGR,
21.736885,20.607668,Not Available,Not Available,12.63,Not Available,Not Available,6081750016,0.14615,1.754371,0.239,Not Available,190109532160,15.291,Not Available,35384000000.0,Not Available,LOW,
41.13949,28.474123,7.254186,Not Available,13.53,0.18868,79.443,2775124992,0.21587,6.651763,1.098,Not Available,157488758784,27.664,Not Available,10901000000.0,Not Available,SYK,
17.733093,17.624832,16.07185,Not Available,28.11,0.81037,268.347,5304750080,0.12687,1.6301706,1.096,Not Available,132393132032,12.947,Not Available,17291000000.0,Not Available,LMT,
28.738209,26.473074,18.914934,Not Available,4.6,0.66199,162.567,3528750080,0.105579995,2.4626305,0.554,Not Available,142452490240,19.993,Not Available,2862000000.0,Not Available,TJX,
33.334232,23.58338,Not Available,Not Available,209.85,Not Available,Not Available,7527875072,0.40893,7.073608,1.165,Not Available,164005888000,22.833,Not Available,12223000000.0,Not Available,BKNG,
25.70208,20.38829,8.315152,Not Available,11.01,0.31865,177.821,3810625024,0.2207,3.8238301,0.972,Not Available,166362054656,18.154,Not Available,16562000000.0,Not Available,HON,
23.921925,18.598158,3.610847,Not Available,49.1,0.1505,32.503,5049500160,0.3985,8.039214,1.889,Not Available,151523737600,19.745,Not Available,7918000000.0,Not Available,BLK,
14.025847,10.939061,2.0413473,Not Available,34.95,0.15504,61.87,-1112249984,0.043860003,0.5135052,1.34,Not Available,78676541440,6.933,Not Available,23246000000.0,Not Available,ELV,
16.862446,14.994359,2.5054405,Not Available,45.31,0.17166,9.221,2247637504,0.33426997,5.40899,4.344,Not Available,66238373888,14.406,Not Available,1982900000.0,Not Available,REGN,
Not Available,22.60094,6.9584146,Not Available,18.77,-0.029849999,11.35,3063387392,0.40824002,10.227675,2.083,Not Available,103926964224,23.372,Not Available,Not Available,Not Available,VRTX,
81.53719,35.206417,7.020066,Not Available,2.79,0.08916,53.722,1804875008,0.17059,9.13884,0.847,Not Available,154411827200,38.004,Not Available,8566000000.0,Not Available,BSX,
12.556346,12.615864,2.4423165,Not Available,8.03,0.20376,36.695,7398750208,0.24277,2.405371,1.078,Not Available,133336088576,5.454,Not Available,17025000000.0,Not Available,COP,
12.05,11.69903,0.008007666,Not Available,1.03,0.06845,Not Available,Not Available,0.36932,0.025259186,Not Available,Not Available,-45044434206720,Not Available,Not Available,17515067000000.0,Not Available,MUFG,
36.916843,28.70477,7.158539,Not Available,12.05,0.20079,52.594,2547249920,0.19228001,5.561872,0.911,Not Available,144978853888,26.602,Not Available,8244000000.0,Not Available,ETN,
33.07553,41.106125,1.9128156,Not Available,3.52,0.05662,57.079,5016193536,0.40980998,12.306719,0.417,Not Available,138187325440,24.078,Not Available,28021188000.0,Not Available,PLD,
21.864197,28.606384,7.378398,Not Available,3.23,0.3798,86.962,6571749888,0.104320005,2.0951283,1.417,Not Available,116595023872,16.192,Not Available,7903000000.0,Not Available,NKE,
11.048791,11.403077,1.651681,Not Available,23.61,0.16125,31.706,13009625088,0.19610001,1.9859744,0.183,Not Available,128321847296,11.293,Not Available,13035000000.0,Not Available,CB,
29.847658,19.088566,3.6765625,Not Available,3.8,0.12111,144.242,Not Available,0.38416,7.465472,0.481,Not Available,144896770048,Not Available,Not Available,26043000000.0,Not Available,SCHW,
26.935781,15.087334,2.3002195,Not Available,5.85,0.07948,57.859,4904750080,0.17511,3.4669893,1.347,Not Available,132568342528,14.709,Not Available,23877000000.0,Not Available,MDT,
26.538841,22.536654,7.7209787,Not Available,9.43,0.32048,106.462,3657374976,0.20994,4.4144573,0.492,Not Available,118879084544,16.406,Not Available,11844000000.0,Not Available,MMC,
31.643164,27.198328,22.576414,Not Available,10.87,0.87263,176.65,2609362432,0.26488,6.18149,0.256,Not Available,123360387072,21.517,Not Available,2991300000.0,Not Available,ADP,
53.480984,48.535973,23.432611,Not Available,9.53,0.46376,92.559,989520512,0.28242,12.068852,1.126,Not Available,79756779520,38.054,Not Available,2404139000.0,Not Available,RACE,
57.392345,48.63265,4.084656,Not Available,9.73,0.33833998,0.755,2425385728,0.43362,22.849667,3.516,Not Available,30418450432,10.736,Not Available,Not Available,Not Available,ANET,
45.883423,49.14603,11.137592,Not Available,7.2,0.74517995,27.28,2498700032,0.119799994,14.477681,0.771,Not Available,126756487168,115.823,Not Available,,Not Available,PANW,
15.0,13.43454,1.2055454,Not Available,3.74,Not Available,87.69,Not Available,0.27044,1.5482262,Not Available,Not Available,175992356864,9.558,Not Available,72038000000.0,Not Available,BUD,
